Ti,Fe,Al,V,Zr,Cr,Sn ,Nb,H ,N,O,C,Mo,Si,Microstructure,Temperature (K),Strain Rate,Strain,Flow Stress
0.160,-0.155,0.045,-0.129,0.185,-0.123,-0.1420,-0.0304,-0.0556,-0.060,-0.204,-0.1143,-0.101,-0.0860,-0.569,-0.224,-0.209,-0.3136,198
0.160,-0.155,0.045,-0.129,0.185,-0.123,-0.1420,-0.0304,-0.0556,-0.060,-0.204,-0.1143,-0.101,-0.0860,-0.569,-0.224,-0.209,-0.2702,234
0.160,-0.155,0.045,-0.129,0.185,-0.123,-0.1420,-0.0304,-0.0556,-0.060,-0.204,-0.1143,-0.101,-0.0860,-0.569,-0.224,-0.209,-0.2268,238
0.160,-0.155,0.045,-0.129,0.185,-0.123,-0.1420,-0.0304,-0.0556,-0.060,-0.204,-0.1143,-0.101,-0.0860,-0.569,-0.224,-0.209,-0.1833,237
0.160,-0.155,0.045,-0.129,0.185,-0.123,-0.1420,-0.0304,-0.0556,-0.060,-0.204,-0.1143,-0.101,-0.0860,-0.569,-0.224,-0.209,-0.1399,231
0.160,-0.155,0.045,-0.129,0.185,-0.123,-0.1420,-0.0304,-0.0556,-0.060,-0.204,-0.1143,-0.101,-0.0860,-0.569,-0.224,-0.209,-0.0964,227
0.160,-0.155,0.045,-0.129,0.185,-0.123,-0.1420,-0.0304,-0.0556,-0.060,-0.204,-0.1143,-0.101,-0.0860,-0.569,-0.224,-0.209,-0.0530,222
0.160,-0.155,0.045,-0.129,0.185,-0.123,-0.1420,-0.0304,-0.0556,-0.060,-0.204,-0.1143,-0.101,-0.0860,-0.569,-0.224,-0.209,-0.0096,215
0.160,-0.155,0.045,-0.129,0.185,-0.123,-0.1420,-0.0304,-0.0556,-0.060,-0.204,-0.1143,-0.101,-0.0860,-0.569,-0.224,-0.209,0.0339,206
0.160,-0.155,0.045,-0.129,0.185,-0.123,-0.1420,-0.0304,-0.0556,-0.060,-0.204,-0.1143,-0.101,-0.0860,-0.569,-0.224,-0.209,0.0773,196
0.160,-0.155,0.045,-0.129,0.185,-0.123,-0.1420,-0.0304,-0.0556,-0.060,-0.204,-0.1143,-0.101,-0.0860,-0.569,-0.224,-0.209,0.1208,191
0.160,-0.155,0.045,-0.129,0.185,-0.123,-0.1420,-0.0304,-0.0556,-0.060,-0.204,-0.1143,-0.101,-0.0860,-0.569,-0.224,-0.209,0.1642,183
0.160,-0.155,0.045,-0.129,0.185,-0.123,-0.1420,-0.0304,-0.0556,-0.060,-0.204,-0.1143,-0.101,-0.0860,-0.569,-0.224,-0.209,0.2076,177
